Operator,Dec'19,Nov'19,Oct'19,Sep'19,Aug'19,Jul'19,Jun'19,May'19,Apr'19,Mar'19,Feb'19,Jan'19,Dec'18,Nov'18,Oct'18,Sep'18,Aug'18,Jul'18,Jun'18,May'18,Apr'18,Mar'18,Feb'18,Jan'18,Dec'17,Nov'17,Oct'17,Sep'17,Aug'17,Jul'17,Jun'17,May'17,Apr'17,Mar'17,Feb'17,Jan'17,Dec'16,Nov'16,Oct'16,Sep'16,Aug'16,Jul'16,Jun'16,May'16,Apr'16,Mar'16,Feb'16,Jan'16,Dec'15,Nov'15,Oct'15,Sep'15,Aug'15,Jul'15,Jun'15,May'15,Apr'15,Mar'15,Feb'15,Jan'15,Dec'14,Nov'14,Oct'14,Sep'14,Aug'14,Jul'14,Jun'14,May'14
Visafone,0,0,0,0,0,0,0,0,0,0,"119,087","119,797","119,632","120,355","121,572","121,809","114,548","120,984","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","213,106","240,017","271,844","324,633","367,153","449,632","482,681","520,682","1,163,914","2,140,299","2,140,299","2,140,299","2,140,299","2,120,880","2,031,802","2,115,124","2,046,678","2,095,193","1,983,699","2,220,069","2,091,804","2,115,511","2,092,999","2,170,521","2,395,513","2,330,965","2,384,977","2,199,212","1,993,613","2,031,152","2,075,559"
Multilinks,0,0,0,0,0,0,0,0,0,"4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","4,460","5,061","6,117","7,024","7,683","8,428","8,976","9,463","10,213","10,817","10,841","10,788","9,579","14,233","14,481","15,395","15,961","17,324","18,182","20,011","21,405","24,832","27,601","30,306","31,830"
Total,0,0,0,0,0,0,0,0,0,"4,460","123,547","124,257","124,092","124,815","126,032","126,269","119,008","125,444","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","217,566","244,477","276,304","329,093","371,613","454,092","487,141","525,743","1,170,031","2,147,323","2,147,982","2,148,727","2,149,275","2,130,343","2,042,015","2,125,941","2,057,519","2,105,981","1,993,278","2,234,302","2,106,285","2,130,906","2,108,960","2,187,845","2,413,695","2,350,976","2,406,382","2,224,044","2,021,214","2,061,458","2,107,389"
