Operator,Mar'20,Feb'20,Jan'20,Dec'19,Nov'19,Oct'19,Sep'19,Aug'19,Jul'19,Jun'19,May'19,Apr'19,Mar'19,Feb'19,Jan'19,Dec'18,Nov'18,Oct'18,Sep'18,Aug'18,Jul'18,Jun'18,May'18,Apr'18,Mar'18,Feb'18,Jan'18,Dec'17,Nov'17,Oct'17,Sept'17,Aug'17,Jul'17,Jun'17,May'17,Apr'17,Mar'17,Feb'17,Jan'17,Dec'16,Nov'16,Oct'16,Sep'16,Aug'16,Jul'16,Jun'16,May'16,Apr'16,Mar'16,Feb'16,Jan'16,Dec'15,Nov'15,Oct'15,Sep'15,Aug'15,Jul'15,Jun'15,May'15,Apr'15,Mar'15,Feb'15,Jan'15,Dec'14,Nov'14,Oct'14,Sep'14,Aug'14,Jul'14,Jun'14,May'14
Airtel,"51,298,878","50,488,099","49,997,710","50,186,988","49,650,155","49,081,899","48,909,678","47,921,891","46,836,395","45,929,995","45,640,391","45,433,300","45,238,335","44,975,532","44,970,973","44,180,484","43,119,154","42,269,981","41,313,633","40,508,087","40,048,328","39,898,448","39,730,320","39,199,383","38,964,324","38,768,883","38,326,579","37,233,819","35,943,063","35,089,690","34,625,744","34,321,613","34,111,094","34,126,901","34,156,434","34,336,802","34,656,605","34,832,181","34,666,765","34,116,409","33,376,556","32,775,916","32,775,916","32,375,069","32,070,861","31,978,848","31,838,965","32,445,285","33,866,798","33,595,561","33,155,339","32,268,301","31,936,152","31,273,483","31,134,625","30,569,278","30,075,643","29,564,766","29,539,739","29,291,114","28,680,757","28,380,848","27,989,580","27,556,544","26,836,050","26,504,712","26,054,251","25,428,448","24,865,900","25,302,160","25,452,055"
9mobile,"12,123,185","12,243,810","13,157,543","13,641,995","14,164,411","14,792,206","15,334,096","15,602,255","15,739,967","15,965,250","16,363,320","16,720,146","16,838,403","16,730,581","16,385,317","15,917,015","15,361,671","15,361,671","15,355,061","15,411,322","15,565,463","15,811,684","16,006,007","16,148,635","16,318,508","16,596,838","16,867,759","16,955,392","17,075,813","17,121,058","17,203,940","17,349,731","17,614,362","18,022,674","18,500,772","19,045,686","19,621,806","20,188,214","20,521,952","20,809,889","21,621,832","22,210,315","22,534,800","22,599,670","22,542,965","22,469,896","22,325,033","22,121,842","21,877,542","21,840,452","22,035,107","22,161,290","22,783,861","23,180,651","23,492,214","23,307,025","23,029,329","22,852,232","22,597,264","22,444,198","22,235,557","22,015,685","21,559,667","21,103,749","20,565,917","20,162,932","19,881,519","19,684,597","19,470,884","19,390,285","19,338,592"
Globacom,"51,856,114","51,804,359","51,755,561","51,700,052","51,137,642","50,255,796","49,211,474","47,265,628","46,713,068","46,594,981","46,471,822","46,380,756","46,203,703","46,004,517","45,603,638","45,255,297","43,273,188","41,582,055","40,856,649","40,495,418","40,323,154","40,108,508","39,885,471","39,523,811","39,042,979","38,423,184","38,228,018","38,169,780","37,467,184","37,418,933","37,349,979","37,304,367","37,242,918","37,411,407","37,365,755","37,270,100","37,328,827","37,250,455","37,222,902","37,357,843","37,268,483","37,117,992","36,967,712","36,752,012","36,587,393","36,320,572","35,685,287","35,128,955","34,608,793","34,003,841","33,193,174","32,999,384","31,170,100","31,994,298","31,306,472","31,445,115","31,256,677","31,256,677","30,482,435","30,040,119","29,577,125","28,877,537","28,486,530","28,219,089","27,591,967","27,889,235","27,611,353","27,483,195","27,352,007","27,327,646","25,690,103"
MTN,"73,573,788","72,473,624","70,693,058","68,762,634","67,348,858","65,870,174","65,328,104","65,707,899","65,260,754","65,259,375","64,812,691","64,732,167","65,034,615","65,565,898","66,665,378","67,133,009","66,974,992","65,651,710","64,160,404","64,106,166","65,488,815","66,488,706","66,453,318","65,209,222","54,528,527","54,172,786","53,442,969","52,272,687","51,414,345","50,720,702","50,307,169","50,051,572","49,763,224","53,093,756","54,921,331","58,121,427","60,391,959","61,390,697","62,248,827","61,840,461","61,280,293","60,982,487","60,558,569","60,558,569","58,506,858","58,409,767","58,339,758","57,170,274","57,045,721","56,848,516","60,639,299","61,252,387","62,597,757","63,234,827","62,493,732","63,381,742","64,133,556","62,813,111","61,767,403","61,281,803","61,149,397","61,001,529","60,495,053","59,893,093","59,046,669","58,523,509","58,363,105","58,271,212","58,289,807","58,516,759","58,415,881"
Visafone,"137,086","137,086","138,144","134,518","134,274","118,270","118,842","119,386","118,442",0,"117,070","117,434","117,807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"188,989,051","187,146,978","185,742,016","184,426,187","182,435,340","180,118,345","178,902,194","176,617,059","174,668,626","173,749,601","173,405,294","173,383,803","173,432,863","173,276,528","173,625,306","172,485,805","168,729,005","164,865,417","161,685,747","160,520,993","161,425,760","162,307,346","162,075,116","160,081,051","148,854,338","147,961,791","146,865,145","144,631,678","141,900,405","140,350,383","139,486,832","139,027,283","138,731,598","142,654,738","144,944,292","148,774,015","151,999,197","153,661,547","154,660,446","154,124,602","153,547,164","153,086,710","152,836,997","152,285,320","149,708,077","149,179,083","148,189,043","146,866,356","147,398,854","146,288,370","149,022,919","148,681,362","149,787,120","149,683,259","148,427,043","148,703,160","148,495,205","146,486,786","144,386,841","143,057,234","141,642,836","140,275,599","138,530,830","136,772,475","134,040,603","133,080,388","131,910,228","130,867,452","129,978,598","130,536,850","128,896,631"
