Operator,Mar'20,Feb'20,Jan'20,Dec'19,Nov'19,Oct'19,Sep'19,Aug'19,Jul'19,Jun'19,May'19,Apr'19,Mar'19,Feb'19,Jan'19,Dec'18,Nov'18,Oct'18,Sep'18,Aug'18,Jul'18,Jun'18,May'18,Apr'18,Mar'18,Feb'18,Jan'18,Dec'17,Nov'17,Oct'17,Sept'17,Aug'17,Jul'17,Jun'17,May'17,Apr'17,Mar'17,Feb'17,Jan'17,Dec'16,Nov'16,Oct'16,Sep'16,Aug'16,Jul'16
Smile,"182,916","178,404","170,726","162,164","155,675","156,000","162,924","169,227","167,555","161,012","153,259","144,619","137,247","129,468","121,261","113,201","107,366","104,260","101,349","97,802","93,667","90,506","86,247","83,445","79,808","76,631","72,029","67,047","61,310","57,877","55,350","53,980","50,925","48,770","45,109","42,308","39,345","36,285","35,712","33,099","33,142","31,166","27,954","24,693","18,262"
NTEL,"3,338","3,384","3,595","3,904","4,231","4,450","4,562","4,579","4,556","4,321","4,533","4,605","5,253","5,832","6,498","7,505","7,948","7,872","7,895","7,876","7,464","7,435","6,833","6,032","5,377","4,867","4,342","3,879","3,649","3,611","3,395","2,920","2,354","1,100","1,239","61,817","58,590","53,586","48,735",0,0,0,0,0,0
Total,"186,254","181,788","174,321","166,068","159,906","160,450","167,486","173,806","172,111","165,333","157,792","149,224","142,500","135,300","127,759","120,706","115,314","112,132","109,244","105,678","101,131","97,941","93,080","89,477","85,185","81,498","76,371","70,926","64,959","61,488","58,745","56,900","53,279","49,870","46,348","104,125","97,935","89,871","84,447","33,099","33,142","31,166","27,954","24,693","18,262"
