,Dec'19,Nov'19,Oct'19,Sep'19,Aug'19,Jul'19,Jun'19,May'19,Apr'19,Mar'19,Feb'19,Jan'18,Dec'18,Nov'18,Oct'18,Sep'18,Aug'18,Jul'18,Jun'18,May'18,Apr'18,Mar'18,Feb'18,Dec'17,Nov'17,Oct'17,Sep'17,Aug'17,Jul'17,Jun'17,May'17,Apr'17,Mar'17,Feb'17,Jan'17,Dec'16,Nov'16,Oct'16,Sep'16,Aug'16,Jul'16,Jun'16,May'16,Apr'16,Mar'16,Feb'16,Jan'16,Dec'15,Nov'15,Oct'15,Sep'15,Aug'15,Jul'15,Jun'15,May'15,Apr'15,Mar'15,Feb'15,Jan'15,Dec'14,Nov'14,Oct'14,Sep'14,Aug'14,Jul'14,Jun'14,May'14,,
Visafone,0,0,0,0,0,0,0,0,0,"26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,437","26,514","30,288","34,360","38,248","44,659","46,395","48,438","49,596","57,358","57,358","57,358","57,358","59,863","63,396","62,247","60,218","55,548","55,210","55,244","55,123","54,698","54,349","53,990","54,153","57,232","58,891","58,250","53,777","50,916","50,535",,
Multilinks,0,0,0,0,0,0,0,0,0,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,506,"1,787","2,076","2,257","2,387","2,502","2,592","2,923","3,164","3,379","3,387","2,896","4,637","4,711","4,949","5,125","5,614","5,883","6,433","6,855","8,431","9,284","10,163","10,443",,
Total,0,0,0,0,0,0,0,0,0,"26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,865","26,942","30,716","34,788","38,676","45,087","46,823","48,944","51,383","59,434","59,615","59,745","59,860","62,455","66,319","65,411","63,597","58,935","58,106","59,881","59,834","59,647","59,474","59,604","60,036","63,665","65,746","66,681","63,061","61,079","60,978",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
