Operator,Apr'20,Mar'20,Feb'20,Jan'20,Dec'19,Nov'19,Oct'19,Sep'19,Aug'19,Jul'19,Jun'19,May'19,Apr'19,Mar'19,Feb'19,Jan'19,Dec'18,Nov'18,Oct'18,Sep'18,Aug'18
Mobile (GSM),"138,342,770","135,832,142","131,647,895","128,365,704","125,728,328","122,489,257","123,206,103","122,792,291","122,585,515","122,681,418","122,292,079","122,624,417","119,506,430","115,938,225","114,725,357","113,875,204","111,632,516","108,457,051","107,106,975","105,980,062","104,628,342"
Mobile (CDMA),0,0,0,0,0,0,0,0,0,0,0,0,0,4,"63,979","64,086","64,229","65,650","68,793","69,398","66,144"
Fixed Wired,"9,847","10,037","9,866","9,764","9,670","9,474","9,578","9,827","9,951","10,144","10,108","10,155","9,999","9,814","9,854","9,135","9,868","9,955","10,170","10,174","12,602"
VoIP,"381,116","361,052","355,480","347,720","341,001","335,828","343,915","360,909","380,274","377,522","371,346","366,646","360,868","362,111","362,028","358,173","359,127","365,023","361,785","361,224","359,501"
TOTAL,"138,733,733","136,203,231","132,013,241","128,723,188","126,078,999","122,834,559","123,559,596","123,163,027","122,975,740","123,069,084","122,673,623","123,001,218","119,877,297","116,310,154","115,161,218","114,306,598","112,065,740","108,897,679","107,547,723","106,420,858","105,066,589"
